JD,Magnitude,Uncertainty,HQuncertainty,Band
2457081.22778,0.46,,,Vis.
2457081.45833,0.6,,,Vis.
2457081.46389,0.60,,,Vis.
2457081.56181,0.5,,,Vis.
2457082.3,0.75,,,Vis.
2457082.4,0.4,,,Vis.
2457082.42292,0.39,,,Vis.
2457082.47917,0.55,,,Vis.
2457082.5,1.5,,,Vis.
2457083.3,0.7,,,Vis.
2457083.3,0.4,,,Vis.
2457083.67569,0.5,,,Vis.
2457084.33,0.5,,,Vis.
2457084.358,0.85,,,Vis.
2457084.393,0.5,,,Vis.
2457084.58333,0.63,,,Vis.
2457085.28333,0.40,,,Vis.
2457085.39931,-0.4,,,Vis.
2457086.362,0.75,,,Vis.
2457086.54236,0.5,,,Vis.
2457087.2951,0.65,,,Vis.
2457087.3,0.75,,,Vis.
2457087.3243,0.9,,,Vis.
2457087.4,0.7,,,Vis.
2457087.5,0.6,,,Vis.
2457087.59375,0.7,,,Vis.
2457088.25,0.4,,,Vis.
2457088.26528,0.35,,,Vis.
2457088.3,0.4,,,Vis.
2457088.48333,0.60,,,Vis.
2457088.55764,0.4,,,Vis.
2457088.7,0.4,,,Vis.
2457089.2764,0.8,,,Vis.
2457089.33,0.5,,,Vis.
2457089.383,0.6,,,Vis.
2457089.47639,0.55,,,Vis.
2457089.5785,0.3,,,Vis.
2457089.58264,0.6,,,Vis.
2457090.27847,0.31,,,Vis.
2457090.54861,0.5,,,Vis.
2457090.56806,0.5,,,Vis.
2457090.91609,0.7,,,Vis.
2457091.25694,0.31,,,Vis.
2457091.27,0.4,,,Vis.
2457091.2965,0.6,,,Vis.
2457091.2993,0.8,,,Vis.
2457091.38889,1.2,,,Vis.
2457092.27361,0.25,,,Vis.
2457092.3,0.6,,,Vis.
2457092.3,0.6,,,Vis.
2457092.306,0.5,,,Vis.
2457092.47708,0.60,,,Vis.
2457092.57639,0.5,,,Vis.
2457093.28542,0.40,,,Vis.
2457093.29861,0.6,,,Vis.
2457093.3,0.6,,,Vis.
2457093.3,0.45,,,Vis.
2457093.34028,0.3,,,Vis.
2457093.39931,1.4,,,Vis.
2457093.48681,0.55,,,Vis.
2457093.55000,0.5,,,Vis.
2457093.6,0.8,,,Vis.
2457093.62014,0.5,,,Vis.
2457093.65903,0.4,,,Vis.
2457093.67986,0.6,,,Vis.
2457094.42014,0.9,,,Vis.
2457095.47986,0.60,,,Vis.
2457096.27083,0.40,,,Vis.
2457096.313,0.5,,,Vis.
2457096.32361,0.3,,,Vis.
2457096.68194,0.6,,,Vis.
2457097.00833,0.6,,,Vis.
2457097.3285,0.6,,,Vis.
2457097.5,0.8,,,Vis.
2457097.68750,0.7,,,Vis.
2457097.93264,1.0,,,Vis.
2457098.15972,0.1,,,Vis.
2457098.34,0.5,,,Vis.
2457098.628,0.6,,,Vis.
2457099.2695,0.8,,,Vis.
2457099.3,0.6,,,Vis.
2457099.35,0.4,,,Vis.
2457099.40417,0.4,,,Vis.
2457100.3,0.7,,,Vis.
2457100.4,0.7,,,Vis.
2457101.27361,0.38,,,Vis.
2457101.3,0.7,,,Vis.
2457101.49097,0.65,,,Vis.
2457102.53125,0.4,,,Vis.
2457103.27,0.4,,,Vis.
2457103.45833,1.0,,,Vis.
2457103.585,0.2,,,Vis.
2457104.4,0.4,,,Vis.
2457104.59236,0.4,,,Vis.
2457104.63542,0.7,,,Vis.
2457104.7,0.5,,,Vis.
2457105.313,0.6,,,Vis.
2457105.3194,0.8,,,Vis.
2457105.3368,0.5,,,Vis.
2457105.346,0.93,,,Vis.
2457105.50208,0.60,,,Vis.
2457106.5,0.8,,,Vis.
2457107.41667,0.7,,,Vis.
2457107.48056,0.60,,,Vis.
2457108.41667,0.7,,,Vis.
2457108.544,0.3,,,Vis.
2457109.4,0.4,,,Vis.
2457109.41667,0.7,,,Vis.
2457109.57708,0.6,,,Vis.
2457109.60347,0.5,,,Vis.
2457109.63958,0.4,,,Vis.
2457110.27361,0.3,,,Vis.
2457110.41667,0.6,,,Vis.
2457110.61806,0.5,,,Vis.
2457111.49722,0.55,,,Vis.
2457111.56319,0.5,,,Vis.
2457111.60417,0.7,,,Vis.
2457112.27361,0.35,,,Vis.
2457112.63611,0.7,,,Vis.
2457113.3,0.4,,,Vis.
2457113.62083,0.4,,,Vis.
2457114.1,0.5,,,Vis.
2457114.2903,0.7,,,Vis.
2457114.29861,0.33,,,Vis.
2457114.3056,0.7,,,Vis.
2457114.49236,0.50,,,Vis.
2457114.5,1.3,,,Vis.
2457115.1,0.4,,,Vis.
2457115.25486,0.32,,,Vis.
2457116.29444,0.35,,,Vis.
2457116.3,0.4,,,Vis.
2457116.3049,0.8,,,Vis.
2457116.32,0.4,,,Vis.
2457116.40625,0.0,,,Vis.
2457116.58472,0.6,,,Vis.
2457116.63542,0.6,,,Vis.
2457117.46875,1.8,,,Vis.
2457117.5139,0.9,,,Vis.
2457117.60347,0.6,,,Vis.
2457118.62847,0.6,,,Vis.
2457119.29167,0.35,,,Vis.
2457119.3056,0.7,,,Vis.
2457119.307,0.99,,,Vis.
2457119.60417,0.5,,,Vis.
2457120.2,0.6,,,Vis.
2457120.29167,0.32,,,Vis.
2457120.3,0.4,,,Vis.
2457120.314,0.90,,,Vis.
2457120.6,0.6,,,Vis.
2457121.28542,0.2,,,Vis.
2457121.364,0.93,,,Vis.
2457121.36458,0.2,,,Vis.
2457122.31736,0.33,,,Vis.
2457122.361,0.6,,,Vis.
2457122.42361,0.7,,,Vis.
2457123.00347,0.6,,,Vis.
2457123.26667,0.33,,,Vis.
2457123.3,0.25,,,Vis.
2457123.31,0.6,,,Vis.
2457123.59028,0.5,,,Vis.
2457123.60903,0.5,,,Vis.
2457123.613,0.1,,,Vis.
2457123.63125,0.6,,,Vis.
2457123.64236,0.5,,,Vis.
2457124.28194,0.35,,,Vis.
2457124.40625,0.6,,,Vis.
2457124.6,0.6,,,Vis.
2457125.2,0.7,,,Vis.
2457125.3160,0.6,,,Vis.
2457125.320,1.02,,,Vis.
2457125.5,0.7,,,Vis.
2457125.52986,0.60,,,Vis.
2457126.2451,0.7,,,Vis.
2457126.29167,0.37,,,Vis.
2457126.32778,0.2,,,Vis.
2457126.40764,0.4,,,Vis.
2457126.49306,0.55,,,Vis.
2457126.65139,0.5,,,Vis.
2457127.26389,0.37,,,Vis.
2457127.28125,0.37,,,Vis.
2457127.358,0.5,,,Vis.
2457128.31,0.6,,,Vis.
2457128.31250,0.37,,,Vis.
2457129.51181,0.55,,,Vis.
2457130.2,0.45,,,Vis.
2457130.55208,0.5,,,Vis.
2457131.27083,0.35,,,Vis.
2457131.358,0.6,,,Vis.
2457131.60208,0.4,,,Vis.
2457132.26736,0.35,,,Vis.
2457132.331,0.79,,,Vis.
2457133.31250,0.30,,,Vis.
2457133.3194,0.6,,,Vis.
2457133.32,0.5,,,Vis.
2457133.60764,0.6,,,Vis.
2457133.63611,0.3,,,Vis.
2457134.29167,0.30,,,Vis.
2457134.58056,0.6,,,Vis.
2457136.61458,0.6,,,Vis.
2457137.31250,0.35,,,Vis.
2457137.6,0.8,,,Vis.
2457137.95972,0.6,,,Vis.
2457138.2,0.6,,,Vis.
2457138.27569,0.35,,,Vis.
2457138.5875,0.4,,,Vis.
2457139.57778,0.4,,,Vis.
2457145.57361,0.3,,,Vis.
2457146.5,1.3,,,Vis.
2457153.30972,0.45,,,Vis.
2457155.29826,0.39,,,Vis.
2457218.95625,0.4,,,Vis.
2457228.94236,0.4,,,Vis.
2457231.92569,0.3,,,Vis.
2457232.93681,0.1,,,Vis.
2457234.9,0.8,,,Vis.
2457234.92847,0.3,,,Vis.
2457236.94375,0.4,,,Vis.
2457241.91806,0.5,,,Vis.
2457243.93056,0.3,,,Vis.
2457245.8,1.5,,,Vis.
2457246.9,0.7,,,Vis.
2457247.9,0.9,,,Vis.
2457249.93750,0.3,,,Vis.
2457252.64699,0.77,,,Vis.
2457256.60417,0.74,,,Vis.
2457257.93681,0.4,,,Vis.
2457262.64583,0.4,,,Vis.
2457262.9,0.8,,,Vis.
2457263.54444,0.75,,,Vis.
2457263.6840,0.8,,,Vis.
2457263.96875,0.5,,,Vis.
2457264.65556,0.79,,,Vis.
2457266.7,1.0,,,Vis.
2457270.92917,0.4,,,Vis.
2457271.67,0.5,,,Vis.
2457272.6,0.3,,,Vis.
2457272.95833,0.5,,,Vis.
2457273.68750,0.45,,,Vis.
2457273.7,1.15,,,Vis.
2457274.6944,0.9,,,Vis.
2457274.7,1.1,,,Vis.
2457275.649,0.6,,,Vis.
2457276.8,0.7,,,Vis.
2457278.91319,0.5,,,Vis.
2457279.90208,0.5,,,Vis.
2457280.9,0.6,,,Vis.
2457280.92361,0.5,,,Vis.
2457281.9,0.9,,,Vis.
2457281.91319,0.55,,,Vis.
2457282.62500,0.38,,,Vis.
2457283.6354,0.9,,,Vis.
2457283.65,0.8,,,Vis.
2457283.91319,0.5,,,Vis.
2457284.87153,0.5,,,Vis.
2457286.8264,1.0,,,Vis.
2457287.79861,0.4,,,Vis.
2457287.9,0.9,,,Vis.
2457287.94444,0.5,,,Vis.
2457288.684,0.6,,,Vis.
2457288.95208,0.5,,,Vis.
2457289.6,0.3,,,Vis.
2457289.6,0.95,,,Vis.
2457289.67365,0.64,,,Vis.
2457289.67990,0.63,,,Vis.
2457290.6597,0.8,,,Vis.
2457290.6632,0.7,,,Vis.
2457290.8,1.4,,,Vis.
2457291.71181,0.35,,,Vis.
2457291.8681,1.0,,,Vis.
2457292.84236,0.65,,,Vis.
2457293.587,0.6,,,Vis.
2457293.5979,0.8,,,Vis.
2457293.6,0.7,,,Vis.
2457293.6,0.4,,,Vis.
2457293.6,0.95,,,Vis.
2457293.63750,0.64,,,Vis.
2457294.6,0.85,,,Vis.
2457294.6222,0.5,,,Vis.
2457295.6,0.9,,,Vis.
2457295.66,0.5,,,Vis.
2457296.6,0.9,,,Vis.
2457296.93472,0.4,,,Vis.
2457297.744,1.0,,,Vis.
2457298.6,0.85,,,Vis.
2457303.8361,0.9,,,Vis.
2457303.9,0.9,,,Vis.
2457304.50,0.6,,,Vis.
2457304.56250,0.42,,,Vis.
2457304.67,0.5,,,Vis.
2457304.6792,0.8,,,Vis.
2457305.6500,0.7,,,Vis.
2457306.81667,0.7,,,Vis.
2457306.92986,0.6,,,Vis.
2457307.6,0.85,,,Vis.
2457307.646,0.6,,,Vis.
2457307.65,0.6,,,Vis.
2457307.68750,0.66,,,Vis.
2457307.9,0.7,,,Vis.
2457307.94653,0.8,,,Vis.
2457309.94583,0.7,,,Vis.
2457310.77639,0.65,,,Vis.
2457310.9,0.9,,,Vis.
2457311.69444,0.62,,,Vis.
2457311.7153,0.7,,,Vis.
2457312.69306,0.62,,,Vis.
2457312.91528,0.6,,,Vis.
2457313.9,0.9,,,Vis.
2457314.8639,0.9,,,Vis.
2457315.5,0.8,,,Vis.
2457316.0,0.7,,,Vis.
2457317.62847,0.60,,,Vis.
2457317.7,0.3,,,Vis.
2457318.68750,0.62,,,Vis.
2457319.23264,0.71,,,Vis.
2457319.6,0.6,,,Vis.
2457319.64,0.7,,,Vis.
2457319.7,0.3,,,Vis.
2457320.92361,0.7,,,Vis.
2457321.6,0.65,,,Vis.
2457322.6,1.5,,,Vis.
2457323.90625,0.5,,,Vis.
2457325.75625,0.68,,,Vis.
2457326.51042,0.52,,,Vis.
2457327.0,0.9,,,Vis.
2457327.36,0.8,,,Vis.
2457327.45347,0.63,,,Vis.
2457328.6757,0.3,,,Vis.
2457328.7,0.3,,,Vis.
2457328.84028,0.6,,,Vis.
2457329.5,0.7,,,Vis.
2457329.6083,0.8,,,Vis.
2457329.70833,0.4,,,Vis.
2457329.81250,0.5,,,Vis.
2457329.99167,0.5,,,Vis.
2457330.5,0.85,,,Vis.
2457330.7,0.3,,,Vis.
2457330.7,0.8,,,Vis.
2457331.70,0.6,,,Vis.
2457331.725,0.3,,,Vis.
2457333.38750,0.67,,,Vis.
2457333.59722,0.1,,,Vis.
2457333.7,0.3,,,Vis.
2457334.42639,0.63,,,Vis.
2457334.70486,0.6,,,Vis.
2457335.43924,0.62,,,Vis.
2457335.44444,0.57,,,Vis.
2457335.7,0.3,,,Vis.
2457335.7167,0.7,,,Vis.
2457335.72639,0.4,,,Vis.
2457336.65625,0.70,,,Vis.
2457337.40486,0.70,,,Vis.
2457337.73472,0.7,,,Vis.
2457338.611,0.5,,,Vis.
2457338.9,0.7,,,Vis.
2457339.6666,0.1,,,Vis.
2457340.6271,0.8,,,Vis.
2457340.6708,0.3,,,Vis.
2457340.742,0.6,,,Vis.
2457340.80972,0.6,,,Vis.
2457340.9,0.8,,,Vis.
2457341.73472,0.7,,,Vis.
2457342.64653,0.6,,,Vis.
2457343.8,0.9,,,Vis.
2457344.597,0.5,,,Vis.
2457344.7292,0.9,,,Vis.
2457345.65694,0.4,,,Vis.
2457346.39,0.9,,,Vis.
2457346.752,0.3,,,Vis.
2457347.79097,0.6,,,Vis.
2457348.51389,0.51,,,Vis.
2457349.65417,0.4,,,Vis.
2457349.95833,0.6,,,Vis.
2457349.96528,0.4,,,Vis.
2457350.5,0.9,,,Vis.
2457351.36806,0.54,,,Vis.
2457351.37014,0.65,,,Vis.
2457351.541,0.5,,,Vis.
2457353.3,0.1,,,Vis.
2457353.30069,0.1,,,Vis.
2457353.4,0.9,,,Vis.
2457354.4,0.2,,,Vis.
2457354.426,0.6,,,Vis.
2457354.48184,0.51,,,Vis.
2457354.6326,0.1,,,Vis.
2457354.90625,1.1,,,Vis.
2457355.72569,0.6,,,Vis.
2457356.3,0.3,,,Vis.
2457356.6917,0.7,,,Vis.
2457357.37500,0.55,,,Vis.
2457358.3,0.1,,,Vis.
2457358.42847,0.3,,,Vis.
2457359.32500,0.4,,,Vis.
2457359.42222,0.35,,,Vis.
2457359.42778,0.37,,,Vis.
2457359.42917,0.35,,,Vis.
2457359.7,0.6,,,Vis.
2457360.56250,0.7,,,Vis.
2457360.72847,0.4,,,Vis.
2457361.379,1.00,,,Vis.
2457361.41944,0.48,,,Vis.
2457361.42083,0.37,,,Vis.
2457361.42222,0.35,,,Vis.
2457361.69931,0.9,,,Vis.
2457361.7,0.7,,,Vis.
2457361.72708,0.7,,,Vis.
2457361.73264,0.6,,,Vis.
2457362.55,0.7,,,Vis.
2457363.4,1.6,,,Vis.
2457363.46007,0.65,,,Vis.
2457364.34444,0.4,,,Vis.
2457364.38,0.6,,,Vis.
2457364.42,0.7,,,Vis.
2457364.59097,0.70,,,Vis.
2457365.3,0.3,,,Vis.
2457365.356,0.4,,,Vis.
2457365.448,0.4,,,Vis.
2457365.46250,0.5,,,Vis.
2457367.3,0.2,,,Vis.
2457367.41528,0.4,,,Vis.
2457367.41736,0.35,,,Vis.
2457367.41944,0.37,,,Vis.
2457367.70833,0.4,,,Vis.
2457367.71319,0.7,,,Vis.
2457367.8,0.8,,,Vis.
2457368.27847,0.4,,,Vis.
2457368.35417,0.5,,,Vis.
2457368.4,0.7,,,Vis.
2457368.528,0.4,,,Vis.
2457369.4,0.6,,,Vis.
2457369.44792,0.5,,,Vis.
2457369.60000,0.75,,,Vis.
2457370.4,0.85,,,Vis.
2457370.59028,0.75,,,Vis.
2457371.36458,0.5,,,Vis.
2457371.71597,0.3,,,Vis.
2457372.3,0.2,,,Vis.
2457372.8,0.9,,,Vis.
2457373.3958,0.3,,,Vis.
2457373.56111,0.75,,,Vis.
2457374.4097,0.7,,,Vis.
2457374.75486,0.7,,,Vis.
2457375.4,0.7,,,Vis.
2457375.59028,0.55,,,Vis.
2457375.66528,0.3,,,Vis.
2457375.70556,0.3,,,Vis.
2457376.3,0.2,,,Vis.
2457377.33,0.3,,,Vis.
2457377.3820,0.7,,,Vis.
2457377.4181,0.5,,,Vis.
2457377.479,0.5,,,Vis.
2457377.54375,0.80,,,Vis.
2457378.41111,0.62,,,Vis.
2457378.4542,0.7,,,Vis.
2457378.47847,0.3,,,Vis.
2457378.58333,0.3,,,Vis.
2457379.3,0.2,,,Vis.
2457381.50278,0.62,,,Vis.
2457382.42917,0.62,,,Vis.
2457383.281,0.85,,,Vis.
2457383.40972,0.5,,,Vis.
2457383.53125,0.2,,,Vis.
2457384.36806,0.4,,,Vis.
2457384.4,0.7,,,Vis.
2457384.4458,0.6,,,Vis.
2457384.80000,0.6,,,Vis.
2457385.19097,0.1,,,Vis.
2457385.3,0.5,,,Vis.
2457385.385,0.99,,,Vis.
2457385.41667,0.6,,,Vis.
2457386.28958,0.5,,,Vis.
2457386.32,0.8,,,Vis.
2457386.3726,0.35,,,Vis.
2457386.5604,0.3,,,Vis.
2457387.3,0.3,,,Vis.
2457387.30000,0.5,,,Vis.
2457387.4,0.6,,,Vis.
2457387.4,0.8,,,Vis.
2457388.32,0.7,,,Vis.
2457388.3688,0.7,,,Vis.
2457388.424,0.4,,,Vis.
2457388.44722,0.5,,,Vis.
2457388.4792,0.8,,,Vis.
2457388.5917,0.7,,,Vis.
2457389.3,0.3,,,Vis.
2457389.448,0.5,,,Vis.
2457389.66667,0.6,,,Vis.
2457390.29167,0.4,,,Vis.
2457390.413,0.4,,,Vis.
2457390.4944,0.5,,,Vis.
2457390.53681,0.65,,,Vis.
2457390.677,0.7,,,Vis.
2457391.33681,0.6,,,Vis.
2457391.4,0.7,,,Vis.
2457391.4,0.7,,,Vis.
2457391.6,0.9,,,Vis.
2457391.754,0.2,,,Vis.
2457392.27986,0.8,,,Vis.
2457392.369,0.75,,,Vis.
2457392.4,0.7,,,Vis.
2457392.56,0.35,,,Vis.
2457392.5667,0.6,,,Vis.
2457392.5799,0.9,,,Vis.
2457392.61181,0.6,,,Vis.
2457392.62153,0.4,,,Vis.
2457392.65625,0.63,,,Vis.
2457393.0854,0.2,,,Vis.
2457393.52014,0.70,,,Vis.
2457394.26042,0.64,,,Vis.
2457394.3,0.6,,,Vis.
2457394.3,0.3,,,Vis.
2457394.33472,0.4,,,Vis.
2457394.37083,0.64,,,Vis.
2457394.5,1.4,,,Vis.
2457394.55833,0.5,,,Vis.
2457395.333,0.2,,,Vis.
2457395.33333,0.2,,,Vis.
2457395.417,0.5,,,Vis.
2457395.486,0.3,,,Vis.
2457395.5,0.2,,,Vis.
2457395.5750,0.9,,,Vis.
2457395.60903,0.3,,,Vis.
2457396.34,0.6,,,Vis.
2457396.5,0.4,,,Vis.
2457397.38889,0.65,,,Vis.
2457397.4,0.6,,,Vis.
2457397.4333,0.5,,,Vis.
2457398.3,0.8,,,Vis.
2457398.66806,0.6,,,Vis.
2457398.69583,0.7,,,Vis.
2457398.7,0.8,,,Vis.
2457399.28264,0.5,,,Vis.
2457399.413,0.5,,,Vis.
2457399.43056,0.60,,,Vis.
2457399.6,0.7,,,Vis.
2457400.2278,0.7,,,Vis.
2457400.3,0.3,,,Vis.
2457400.403,0.4,,,Vis.
2457400.4444,0.9,,,Vis.
2457400.46111,0.65,,,Vis.
2457400.59444,0.7,,,Vis.
2457400.6,0.7,,,Vis.
2457400.60833,0.3,,,Vis.
2457401.3326,0.6,,,Vis.
2457401.33750,0.55,,,Vis.
